phase,field,value
,assessment_name,Newcastle Concrete Batching Plant
,assessed_by,James
,saved_at,2026-07-20T09:19:51
supplier_approval,water_source,Treated effluent
supplier_approval,supplier_authority,Council-run scheme
supplier_approval,council_approval_held,Yes
supplier_approval,user_approval_state,Permitted for this use
supplier_approval,operated_without_approval,False
supplier_approval,discharge_only,False
supplier_approval,epl_status,Unconfirmed
rwmp,has_approved_rwmp,True
rwmp,lists_roadworks_enduse,True
rwmp,rwmp_12_elements_confirmed,True
rwmp,rwmp_current,True
water_quality,application_type,Concrete Mixing
water_quality,conc_sugar,255.0
water_quality,conc_oil,2222.0
water_quality,conc_ph,5.0
water_quality,conc_tds,500.0
water_quality,conc_chloride,100.0
water_quality,conc_sulphate,100.0
water_quality,conc_sodium,100.0
water_quality,conc_turbidity_ntu,2.0
water_quality,conc_ecoli,14234.0
water_quality,water_class,Unclassified
water_quality,compression_strength_pct,99.0
water_quality,filtered_turbidity_ntu,0.0
site_runoff,involves_extraction_or_batching,False
site_runoff,distance_to_waterway_m,200.0
site_runoff,sensitive_environment,None / not sensitive
site_runoff,containment_documented,True
site_runoff,epl_in_place,False
site_runoff,epl_covers_recycled,False
site_runoff,slope_toward_waterway,False
soil_conditions,soil_water_sar,13.0
soil_conditions,soil_water_ec_dsm,3.5
soil_conditions,subgrade_active,True
soil_conditions,subbase_active,True
soil_conditions,base_active,True
soil_conditions,subgrade_category,Gravel/Sand mixtures
soil_conditions,subgrade_uscs_class,GW
soil_conditions,subgrade_omc_pct,9.5
soil_conditions,subgrade_density_kN_m3,20.35
soil_conditions,subgrade_thickness_m,0.3
soil_conditions,subgrade_mc_pct,
soil_conditions,subbase_category,Gravel/Sand mixtures
soil_conditions,subbase_uscs_class,GW
soil_conditions,subbase_omc_pct,9.5
soil_conditions,subbase_density_kN_m3,20.35
soil_conditions,subbase_thickness_m,0.2
soil_conditions,subbase_mc_pct,
soil_conditions,base_omc_pct,11.0
soil_conditions,base_thickness_m,0.2
soil_conditions,base_mc_pct,
soil_conditions,base_density_kN_m3,
whs,application_method,Direct application (low contact)
whs,contact_risk,None expected
whs,within_buffer_distance,False
whs,whs_notified_class,True
whs,whs_health_risks,True
whs,whs_ppe,True
whs,whs_swms,True
whs,whs_signage,True
financial,capital_cost,1000
financial,operating_cost,100
financial,energy_cost,50
financial,custom_cost,0
financial,be_volume,100
financial,be_volume_unit,kL
financial,be_iterations,100
financial,be_distance,1
financial,be_distance_unit,km
financial,be_potable_cost,5.0
financial,be_potable_drought_cost,6.0
financial,be_recycled_cost,0.5
financial,be_driver_wage,10
financial,be_truck_hire,10
financial,be_truck_speed,60
financial,be_truck_capacity,10
financial,restriction_level,None
financial,water_cost_mode,Standard
financial,region,Port Macquarie
financial,potable_cost_normal,4.44
financial,potable_cost_drought,8.84
financial,recycled_cost_normal,2.22
financial,drought_savings_custom,20.0
financial,num_lanes,2
financial,lane_width_m,3.5
financial,shoulder_width_m,1.0
financial,num_shoulders,2
financial,road_length_m,4000.0
financial,num_trucks,5
financial,hire_rate_per_hr,200.0
financial,fuel_efficiency,40.0
financial,diesel_price,2.0
financial,trips_per_truck,4
financial,hours_onsite,6.0
financial,truck_capacity_kL,15.0
financial,potable_distance_km,10.0
financial,recycled_distance_km,15.0
financial,area_type,Urban
financial,avg_speed_kmh,50.0
financial,surface_area_m2,36000.0
financial,site_conditions,Medium
financial,temperature_conditions,Sunny
financial,applications_per_day,5
financial,water_per_m2_L,4.0
financial,effective_area_pct,30.0
financial,project_duration_days,20
financial,layer_subgrade_omc_pct,9.5
financial,layer_subgrade_mc_pct,8.0
financial,layer_subgrade_thickness_m,0.3
financial,layer_subgrade_density_kg_m3,2075.0895
financial,layer_subgrade_included,True
financial,layer_subbase_omc_pct,9.5
financial,layer_subbase_mc_pct,6.0
financial,layer_subbase_thickness_m,0.2
financial,layer_subbase_density_kg_m3,2075.0895
financial,layer_subbase_included,True
financial,layer_base_omc_pct,11.0
financial,layer_base_mc_pct,5.0
financial,layer_base_thickness_m,0.2
financial,layer_base_density_kg_m3,1900.0
financial,layer_base_included,True
